word,instances,self-sim
record,1156,0.6647131955153639
stroke,219,0.7761222237960559
circle,224,0.7449672670103012
word,3120,0.6914718081535157
head,4035,0.679393877341077
land,1592,0.6988488942713892
ball,856,0.7217151996504253
chairman,675,0.7551816985916078
face,3848,0.7271415026929517
relationship,823,0.7463303486505439
edge,1037,0.712056636413838
pin,210,0.6877880470332808
part,3158,0.6220136588385065
plane,743,0.7231115967078864
bag,888,0.7629513124793791
stab,114,0.737290033520869
contemplation,110,0.8617946668900084
attack,803,0.7202211620444818
player,919,0.7236197651032984
tree,1552,0.7704990428654883
bit,611,0.6824671925027384
graft,109,0.7945595148810309
savage,128,0.7713094121065196
fiction,325,0.7470213338226108
gas,672,0.7037877908489261
risk,622,0.7465636897714589
rag,205,0.7368719410149461
tip,233,0.6874813705029988
multitude,129,0.756141653681506
prop,143,0.7068177907029878
twist,178,0.7216261389300475
lane,278,0.6941021808035339
ounce,204,0.7478475248158456
lass,102,0.7406377113460222
donkey,145,0.7689717652525938
thump,117,0.7996980962045699
quilt,183,0.7563586068612952
