word,instances,self-sim
jus,6258,0.8451938115213403
oportet,3110,0.8562256777698158
regnum,6457,0.845523154379832
poena,3541,0.8619409824623362
potestas,3609,0.8253023222656357
senatus,2108,0.8357892248658445
dubius,1902,0.827773155119743
consul,2370,0.8518594904373099
beatus,2627,0.8026416442663619
virtus,4866,0.8174507810273173
imperator,9982,0.8707619034139241
hostis,5574,0.8460046800731011
licet,5689,0.8328369822661648
sanctus,9089,0.8385391264840584
civitas,5752,0.8386181688770992
voluntas,2881,0.8239299718432229
dux,4707,0.8272896480423582
credo,8101,0.8489261557243639
pontifex,1362,0.8486748851216838
sacramentum,1572,0.8392834821787225
sensus,3262,0.8482173980486588
honor,4645,0.835547042175221
ancilla,464,0.8503697802286106
fidelis,2528,0.8285045200477318
consilium,4458,0.8378933536773691
templum,2678,0.8363136497681563
titulus,1444,0.796163343180421
necessarius,2768,0.8255918639276368
nepos,1102,0.8368187719363633
humanitas,523,0.8487906971708777
simplex,1995,0.8389998055234569
nobilitas,610,0.8551476443483581
dolus,616,0.822196675110626
salus,3233,0.8186795881511448
sapientia,2296,0.8428880612488696
scriptura,1401,0.8465862469484989
itero,229,0.8525831829512484
adsumo,264,0.8199188727544247
cohors,953,0.85156588708701
acerbus,320,0.8469805865615699
