word,instances,self-sim
record_nn,1156,0.6943185268799603
stroke_vb,219,0.803234126869372
circle_vb,224,0.7503616760468765
word_nn,3120,0.7024271884813109
head_nn,4035,0.6973271463748655
land_nn,1592,0.7213472372256404
ball_nn,856,0.7183906877026855
chairman_nn,675,0.7718820397863546
face_nn,3848,0.7589007310286174
relationship_nn,823,0.7680265056867136
edge_nn,1037,0.7284405225336341
pin_vb,210,0.7159178388501712
part_nn,3158,0.6438252891090395
plane_nn,743,0.7571997851979781
bag_nn,888,0.7686384712436735
stab_nn,114,0.7516978841226972
contemplation_nn,110,0.8662457690823565
attack_nn,803,0.71346449576182
player_nn,919,0.7446845722815529
tree_nn,1552,0.7700761517388821
bit_nn,611,0.7243979916555043
graft_nn,109,0.7943071005014671
savage_nn,128,0.767992905348422
fiction_nn,325,0.7386248518089283
gas_nn,672,0.718350519441038
risk_nn,622,0.733494878157818
rag_nn,205,0.7615535923306991
tip_vb,233,0.7067041082024592
multitude_nn,129,0.7753460071836562
prop_nn,143,0.7374685095951709
twist_nn,178,0.7589090160284392
lane_nn,278,0.7115675549682009
ounce_nn,204,0.7370891440902645
lass_nn,102,0.7661137752129346
donkey_nn,145,0.7681949750959188
thump_nn,117,0.7985606114754732
quilt_nn,183,0.753036775596434
