layer,correlation,pvalue
1,0.1682628698483655,0.2529539651491603
2,0.24355411196609514,0.09528835036577149
3,0.2015019948006291,0.16963370524959254
4,0.17685825731556296,0.22916284831249964
5,0.13170527251952566,0.37221932110290334
6,0.030736670373206113,0.8357087910020948
7,0.04118169818144606,0.7810797358869471
8,-0.025242150536579886,0.8647742622922456
9,-0.16265954763873677,0.26932909976355557
10,-0.12468751946086443,0.398450581389707
11,-0.17571583239903674,0.23223292719921998
12,-0.07975213941083215,0.590001543307526
