layer,correlation,pvalue
1,0.12589708724389967,0.43888243959497875
2,0.052816736302768647,0.7461834023243854
3,-0.08649561433597279,0.5956295871424422
4,-0.014541019763639678,0.929039097312775
5,-0.054223931763766026,0.7396535398465283
6,0.07964726309245218,0.6251691723704361
7,0.021952249191559258,0.8930453770690372
8,0.021201744945693983,0.8966819094401907
9,0.14531638460566362,0.3709580680514446
10,0.14409681520613257,0.3750295149420654
11,0.04005816412305899,0.8061352940729338
12,0.09475116104049082,0.5608581023188711
